bggid;name;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image
48;Krieg und Frieden;4990;2;4;90;90;https://cf.geekdo-images.com/I1GQofopNwNm8uVKUx0xcw__thumb/img/8ayBjpZNYbEmbq5n9PTP6vbVyHU=/fit-in/200x150/filters:strip_icc()/pic359365.jpg;https://cf.geekdo-images.com/I1GQofopNwNm8uVKUx0xcw__original/img/AwVw9R5jA_cy_KXLygXRPnDBDXw=/0x0/pic359365.jpg
146886;La Granja;165;1;4;90;120;https://cf.geekdo-images.com/ufUK_7N_13rYhsIurbbtzg__thumb/img/5EIOSTEfRYq1LtHtSnnR9GFJP_M=/fit-in/200x150/filters:strip_icc()/pic2031777.jpg;https://cf.geekdo-images.com/ufUK_7N_13rYhsIurbbtzg__original/img/bYiw2vhO2TVB5Dwq5_KzczLpTaQ=/0x0/pic2031777.jpg
243993;La Stanza;4712;2;4;60;90;https://cf.geekdo-images.com/ybs-pPaD-i2V7O1Zp4gsXQ__thumb/img/x4GStNzBVNWRhCWGokPmi_zrnlw=/fit-in/200x150/filters:strip_icc()/pic4447726.png;https://cf.geekdo-images.com/ybs-pPaD-i2V7O1Zp4gsXQ__original/img/3RQjSg6pK9nEuyQxLCNnYpclz6Y=/0x0/pic4447726.png
1219;Labyrinth;1597;2;4;20;20;https://cf.geekdo-images.com/R1BmYXFbv-7UyNWQEb6PUg__thumb/img/sLhPl5N5Ed0JpeNqdr1q9kK_0Ew=/fit-in/200x150/filters:strip_icc()/pic2773940.jpg;https://cf.geekdo-images.com/R1BmYXFbv-7UyNWQEb6PUg__original/img/tvYqG8QjTgDxap2rtQvVzsv-lis=/0x0/pic2773940.jpg
65333;Das Magische Labyrinth Kartenspiel;14735;2;4;15;15;https://cf.geekdo-images.com/XA5dTBAulNbRQwXw1tHElg__thumb/img/6X_O4APhEos21df4ZBIqx89uYMQ=/fit-in/200x150/filters:strip_icc()/pic649926.jpg;https://cf.geekdo-images.com/XA5dTBAulNbRQwXw1tHElg__original/img/BzRjDEuhwP58h0rOzSmVb95jE-c=/0x0/pic649926.jpg
39927;Last Train to Wensleydale;1880;3;4;120;120;https://cf.geekdo-images.com/JHfw-nac9A0sfkNJGxDOYQ__thumb/img/E2ghzjuIWJKZMg6Y-dXb8lg3eKs=/fit-in/200x150/filters:strip_icc()/pic501286.jpg;https://cf.geekdo-images.com/JHfw-nac9A0sfkNJGxDOYQ__original/img/-sHiYQ0iZjcvosvplVtYob_TKb8=/0x0/pic501286.jpg
35677;Le Havre;46;1;5;30;150;https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__thumb/img/mU1YYormB7n6q6y1mUueZp1mSo0=/fit-in/200x150/filters:strip_icc()/pic3330230.jpg;https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__original/img/Fs2MqRUBPQzORmEZbiVqSnBvHDg=/0x0/pic3330230.jpg
275467;Letter Jam;899;2;6;45;45;https://cf.geekdo-images.com/kBZGJlIqir1I_EVCr2nDbg__thumb/img/mSl669ndQnGcsmKfe0Yppc1XvbI=/fit-in/200x150/filters:strip_icc()/pic4853794.jpg;https://cf.geekdo-images.com/kBZGJlIqir1I_EVCr2nDbg__original/img/yPVvXME0WrzxLlbZuwlPTK3KnS8=/0x0/pic4853794.jpg
222407;Lignum (Second Edition);1765;2;4;90;120;https://cf.geekdo-images.com/fqhwSa3xJUO7rjcluqQ4JQ__thumb/img/msRnARNt0xCRfWdHctBDp6YyjQo=/fit-in/200x150/filters:strip_icc()/pic3470301.jpg;https://cf.geekdo-images.com/fqhwSa3xJUO7rjcluqQ4JQ__original/img/ueVy2CDzNVCvxwp728TjJMJoPvQ=/0x0/filters:format(jpeg)/pic3470301.jpg
161533;Lisboa;67;1;4;60;120;https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__thumb/img/ZBTT0qZcD5HMFlhFN7PLMe6zXvg=/fit-in/200x150/filters:strip_icc()/pic3209553.jpg;https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__original/img/k4JCDnjnu5YRn5QA8njFeRMbulk=/0x0/pic3209553.jpg
103328;LIXO?;11886;2;6;20;20;https://cf.geekdo-images.com/WaYgDcMoCtrzxnS50UknPQ__thumb/img/rqK8fi95r8Ng3QhMo4R9QCF0w3A=/fit-in/200x150/filters:strip_icc()/pic1061349.jpg;https://cf.geekdo-images.com/WaYgDcMoCtrzxnS50UknPQ__original/img/NTiMEXN7tgN-EhOwiRGU0o2LE3g=/0x0/pic1061349.jpg
235512;Loot Island;3694;2;5;30;60;https://cf.geekdo-images.com/225EHE7I2UdVOL_EAC0NOA__thumb/img/7R-HHsCpxHwv9QVktdmy7P1zuws=/fit-in/200x150/filters:strip_icc()/pic3741864.jpg;https://cf.geekdo-images.com/225EHE7I2UdVOL_EAC0NOA__original/img/06LF6RP8xrYllKaFIJOnerloQTc=/0x0/pic3741864.jpg
228409;Lusitania;7895;2;4;10;20;https://cf.geekdo-images.com/j4galwGRM-rfNr40k2Cphg__thumb/img/HhIBLmo0NrtOOfx2WZqWPPvrUqU=/fit-in/200x150/filters:strip_icc()/pic3587882.jpg;https://cf.geekdo-images.com/j4galwGRM-rfNr40k2Cphg__original/img/lJgDDv2pcrQgQ1aC-50P3eGxUv8=/0x0/pic3587882.jpg
245643;Luxor;880;2;4;45;45;https://cf.geekdo-images.com/C9nhhIS2zRuneMt0FBK1zg__thumb/img/Ugc6cGHhvETu-EUYAKy03sXJmJM=/fit-in/200x150/filters:strip_icc()/pic3955965.jpg;https://cf.geekdo-images.com/C9nhhIS2zRuneMt0FBK1zg__original/img/ai4DxudWoTQndJaol97gVWuGjW0=/0x0/pic3955965.jpg
95527;Madeira;371;2;4;60;150;https://cf.geekdo-images.com/wY6k5MmdPH3NVXsJ-SgtMw__thumb/img/Su3JBW4OIe8Qt6nXEyUcMOJtqsM=/fit-in/200x150/filters:strip_icc()/pic1762708.jpg;https://cf.geekdo-images.com/wY6k5MmdPH3NVXsJ-SgtMw__original/img/AiDM7gE739RpbJrelj4_fKDkTjg=/0x0/pic1762708.jpg
209778;Magic Maze;486;1;8;15;15;https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__thumb/img/Un57jB38oeBZ0WFdd7rXSOEP-1k=/fit-in/200x150/filters:strip_icc()/pic3268473.jpg;https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__original/img/wX-3MGic-uzIqnNeEZcZlWPKwrA=/0x0/pic3268473.jpg
9440;Maharaja: The Game of Palace Building in India;684;2;5;90;90;https://cf.geekdo-images.com/BPJDeSSatiiw1eTAnxx5-g__thumb/img/Lslbt68cs39OKA2XO0idRyjEG1Q=/fit-in/200x150/filters:strip_icc()/pic44952.jpg;https://cf.geekdo-images.com/BPJDeSSatiiw1eTAnxx5-g__original/img/FLEr6FgxAOjH6ZX2z2_ED7SYHQo=/0x0/pic44952.jpg
276025;Maracaibo;41;1;4;30;120;https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__thumb/img/lVlnhYyxlZb3WuKZJHLoJcFHEjs=/fit-in/200x150/filters:strip_icc()/pic4917407.jpg;https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__original/img/qP99uYh6kOi_erZTgkYDe_AVSsw=/0x0/pic4917407.jpg
40354;Maria;325;2;3;210;210;https://cf.geekdo-images.com/RKnoGhSQwVQo0Z_pXTE19g__thumb/img/n-5E6_QWWDbxynAo4gqUvgMk2RE=/fit-in/200x150/filters:strip_icc()/pic524669.jpg;https://cf.geekdo-images.com/RKnoGhSQwVQo0Z_pXTE19g__original/img/soIvjpEE-OTHe3OuFL7LEjxgLH4=/0x0/pic524669.jpg
119881;Medioevo Universale;4489;3;6;120;300;https://cf.geekdo-images.com/dBhy88PRSCwlmnApHF_hpw__thumb/img/ne_bku7Cvc9THBeGdMeeKGoSjUs=/fit-in/200x150/filters:strip_icc()/pic4300065.jpg;https://cf.geekdo-images.com/dBhy88PRSCwlmnApHF_hpw__original/img/IigIX2au3HYU6Ca0nTs7WJQiA0g=/0x0/pic4300065.jpg
184424;Mega Civilization;1036;5;18;360;720;https://cf.geekdo-images.com/LrFsr0gl2IlgAoxBnsgQ7w__thumb/img/lo5l_X5fBBkG7eJ7g-eM6I_qsg0=/fit-in/200x150/filters:strip_icc()/pic3193295.jpg;https://cf.geekdo-images.com/LrFsr0gl2IlgAoxBnsgQ7w__original/img/jPH_TOLz_4WZM32WqCpfVH5u2SA=/0x0/filters:format(jpeg)/pic3193295.jpg
531;Merchants of Amsterdam;2015;3;5;60;60;https://cf.geekdo-images.com/6-Gt5b4KHTfdVWqPhQCeaw__thumb/img/2c3QxjsDbVlgOsaES-K2gu2ftPU=/fit-in/200x150/filters:strip_icc()/pic153968.jpg;https://cf.geekdo-images.com/6-Gt5b4KHTfdVWqPhQCeaw__original/img/gvzsH512KhthcfxFbifaEDJRNag=/0x0/pic153968.jpg
24669;Sparito!;;2;4;30;30;https://cf.geekdo-images.com/KobEfQuq4xin9VwMPnmaow__thumb/img/xojZBrt6orvnBK5iwzhE6CCegnQ=/fit-in/200x150/filters:strip_icc()/pic152319.jpg;https://cf.geekdo-images.com/KobEfQuq4xin9VwMPnmaow__original/img/Umg42Krwx98TKfRWzXhkvbd6P-4=/0x0/pic152319.jpg
203042;Microworld;6167;2;2;15;20;https://cf.geekdo-images.com/IYQRaVofOxpnw_aiY5r6fA__thumb/img/fyWWVwV4jrmS5xE1OQ3AawJxb8Q=/fit-in/200x150/filters:strip_icc()/pic3198626.jpg;https://cf.geekdo-images.com/IYQRaVofOxpnw_aiY5r6fA__original/img/xV7gFYO8Nw6384MtbNSwHmWgyeQ=/0x0/pic3198626.jpg
105187;MIL (1049);3514;2;5;60;120;https://cf.geekdo-images.com/0UW3tNg48BUpC7VpBqeJjQ__thumb/img/tBx7aAYoYLOmNgUln_V5TxHB3g8=/fit-in/200x150/filters:strip_icc()/pic1103828.jpg;https://cf.geekdo-images.com/0UW3tNg48BUpC7VpBqeJjQ__original/img/OY5FOYMpJ_OktDUtG6j8ygJOpCE=/0x0/pic1103828.jpg
192203;Millions: The Last Soldier;11293;2;5;15;25;https://cf.geekdo-images.com/JqiXq6eS5KxWOj5bMB0zEQ__thumb/img/ot-Cr-3TNc-jDbtv427PEju5W0w=/fit-in/200x150/filters:strip_icc()/pic2871037.png;https://cf.geekdo-images.com/JqiXq6eS5KxWOj5bMB0zEQ__original/img/x2BAZfTStRIwIk53-UIIhHfs6Y8=/0x0/pic2871037.png
222951;Mini WWII;6655;2;4;60;120;https://cf.geekdo-images.com/sdfZ1iRqMG7Jol7gkLeoRw__thumb/img/clAfab-e22KyAeUVVemremvhE9k=/fit-in/200x150/filters:strip_icc()/pic4291832.jpg;https://cf.geekdo-images.com/sdfZ1iRqMG7Jol7gkLeoRw__original/img/-4G9jnLj7u9_rQtUUL0K6gYBbNg=/0x0/pic4291832.jpg
118;Modern Art;221;3;5;45;45;https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__thumb/img/AUqMholGVlwXLjMcxwiziE_7Ffw=/fit-in/200x150/filters:strip_icc()/pic3458036.png;https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/V6gWtm8yHD-7A5F3mQshxGW1zuc=/0x0/pic3458036.png
233955;Montana;2069;2;4;45;45;https://cf.geekdo-images.com/m6DfJ9oG_ybEIpUl775i1A__thumb/img/bNUl4T8JfVs7_XdFN3qaXJBZDOo=/fit-in/200x150/filters:strip_icc()/pic3714270.jpg;https://cf.geekdo-images.com/m6DfJ9oG_ybEIpUl775i1A__original/img/rlKuMPsjOsG35JN7XEA6cuZvVhk=/0x0/pic3714270.jpg
35435;Nefertiti;1355;3;4;45;45;https://cf.geekdo-images.com/r4uZ2K_y6rNQtYmAIOkK_w__thumb/img/WP9k5YX-ocmbdBwpChu9MJMmd0c=/fit-in/200x150/filters:strip_icc()/pic1182301.jpg;https://cf.geekdo-images.com/r4uZ2K_y6rNQtYmAIOkK_w__original/img/2SZIozONu9LpJMKTPHHatxcWqA4=/0x0/pic1182301.jpg
280812;Nētā-Tanka;5785;1;4;90;90;https://cf.geekdo-images.com/tn6fDBqzemCvnOR2tDxclA__thumb/img/Lr1yoWKK-MBAYOfxP3VmC3vOLoI=/fit-in/200x150/filters:strip_icc()/pic4905557.jpg;https://cf.geekdo-images.com/tn6fDBqzemCvnOR2tDxclA__original/img/4rjeJCSoAzaSIN0ahl-qILKxBIQ=/0x0/pic4905557.jpg
